questao_id,materia,assunto,ativa,n_alt,status
195,Legislação Específica,Direito Administrativo,true,5,EXPLICACAO_INCOMPLETA
196,Legislação Específica,Direito Administrativo,true,5,EXPLICACAO_INCOMPLETA
197,Legislação Específica,Direito Administrativo,true,5,EXPLICACAO_INCOMPLETA
198,Legislação Específica,Jurisprudência do STF e STJ,true,5,EXPLICACAO_INCOMPLETA
199,Legislação Específica,Jurisprudência do STF e STJ,true,5,EXPLICACAO_INCOMPLETA
200,Legislação Específica,Jurisprudência do STF e STJ,true,5,EXPLICACAO_INCOMPLETA
201,Legislação Específica,Plano de Carreira dos Servidores Militares,true,5,EXPLICACAO_INCOMPLETA
202,Legislação Específica,Plano de Carreira dos Servidores Militares,true,5,EXPLICACAO_INCOMPLETA
203,Legislação Específica,Plano de Carreira dos Servidores Militares,true,5,EXPLICACAO_INCOMPLETA
204,Legislação Específica,Poder de Polícia,true,5,EXPLICACAO_INCOMPLETA
205,Legislação Específica,Poder de Polícia,true,5,EXPLICACAO_INCOMPLETA
206,Legislação Específica,Poder de Polícia,true,5,EXPLICACAO_INCOMPLETA
207,Legislação Específica,Poderes da Administração Pública,true,5,EXPLICACAO_INCOMPLETA
208,Legislação Específica,Poderes da Administração Pública,true,5,EXPLICACAO_INCOMPLETA
209,Legislação Específica,Poderes da Administração Pública,true,5,EXPLICACAO_INCOMPLETA
210,Legislação Específica,Regulamento Disciplinar da Brigada Militar,true,5,EXPLICACAO_INCOMPLETA
211,Legislação Específica,Regulamento Disciplinar da Brigada Militar,true,5,EXPLICACAO_INCOMPLETA
212,Legislação Específica,Regulamento Disciplinar da Brigada Militar,true,5,EXPLICACAO_INCOMPLETA
213,Legislação Específica,Responsabilidade civil do Estado,true,5,EXPLICACAO_INCOMPLETA
214,Legislação Específica,Responsabilidade civil do Estado,true,5,EXPLICACAO_INCOMPLETA
215,Legislação Específica,Responsabilidade civil do Estado,true,5,EXPLICACAO_INCOMPLETA
216,Língua Portuguesa,Acentuação gráfica,true,5,EXPLICACAO_INCOMPLETA
217,Língua Portuguesa,Acentuação gráfica,true,5,EXPLICACAO_INCOMPLETA
218,Língua Portuguesa,Acentuação gráfica,true,5,EXPLICACAO_INCOMPLETA
219,Língua Portuguesa,Colocação pronominal,true,5,EXPLICACAO_INCOMPLETA
220,Língua Portuguesa,Colocação pronominal,true,5,EXPLICACAO_INCOMPLETA
221,Língua Portuguesa,Colocação pronominal,true,5,EXPLICACAO_INCOMPLETA
222,Língua Portuguesa,Concordância nominal,true,5,EXPLICACAO_INCOMPLETA
223,Língua Portuguesa,Concordância nominal,true,5,EXPLICACAO_INCOMPLETA
224,Língua Portuguesa,Concordância nominal,true,5,EXPLICACAO_INCOMPLETA
225,Língua Portuguesa,Coordenação e subordinação,true,5,EXPLICACAO_INCOMPLETA
226,Língua Portuguesa,Coordenação e subordinação,true,5,EXPLICACAO_INCOMPLETA
227,Língua Portuguesa,Coordenação e subordinação,true,5,EXPLICACAO_INCOMPLETA
228,Língua Portuguesa,Denotação e conotação,true,5,EXPLICACAO_INCOMPLETA
229,Língua Portuguesa,Denotação e conotação,true,5,EXPLICACAO_INCOMPLETA
230,Língua Portuguesa,Denotação e conotação,true,5,EXPLICACAO_INCOMPLETA
231,Língua Portuguesa,Estrutura e formação de palavras,true,5,EXPLICACAO_INCOMPLETA
232,Língua Portuguesa,Estrutura e formação de palavras,true,5,EXPLICACAO_INCOMPLETA
233,Língua Portuguesa,Estrutura e formação de palavras,true,5,EXPLICACAO_INCOMPLETA
234,Língua Portuguesa,Implícitos e subentendidos,true,5,EXPLICACAO_INCOMPLETA
235,Língua Portuguesa,Implícitos e subentendidos,true,5,EXPLICACAO_INCOMPLETA
236,Língua Portuguesa,Implícitos e subentendidos,true,5,EXPLICACAO_INCOMPLETA
237,Língua Portuguesa,Pontuação,true,5,EXPLICACAO_INCOMPLETA
238,Língua Portuguesa,Pontuação,true,5,EXPLICACAO_INCOMPLETA
239,Língua Portuguesa,Pontuação,true,5,EXPLICACAO_INCOMPLETA
240,Língua Portuguesa,Tempos e modos verbais,true,5,EXPLICACAO_INCOMPLETA
241,Língua Portuguesa,Tempos e modos verbais,true,5,EXPLICACAO_INCOMPLETA
242,Língua Portuguesa,Tempos e modos verbais,true,5,EXPLICACAO_INCOMPLETA
243,Língua Portuguesa,Vozes verbais,true,5,EXPLICACAO_INCOMPLETA
244,Língua Portuguesa,Vozes verbais,true,5,EXPLICACAO_INCOMPLETA
245,Língua Portuguesa,Vozes verbais,true,5,EXPLICACAO_INCOMPLETA
246,Raciocínio Lógico,Diagramas lógicos,true,5,EXPLICACAO_INCOMPLETA
247,Raciocínio Lógico,Diagramas lógicos,true,5,EXPLICACAO_INCOMPLETA
248,Raciocínio Lógico,Diagramas lógicos,true,5,EXPLICACAO_INCOMPLETA
249,Direitos Humanos e Cidadania,Convenção Interamericana para Prevenir e Punir a Tortura,true,5,EXPLICACAO_INCOMPLETA
250,Direitos Humanos e Cidadania,Convenção Interamericana para Prevenir e Punir a Tortura,true,5,EXPLICACAO_INCOMPLETA
251,Direitos Humanos e Cidadania,Declaração Universal dos Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
252,Direitos Humanos e Cidadania,Declaração Universal dos Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
253,Direitos Humanos e Cidadania,Entendimentos do STF e STJ,true,5,EXPLICACAO_INCOMPLETA
254,Direitos Humanos e Cidadania,Entendimentos do STF e STJ,true,5,EXPLICACAO_INCOMPLETA
255,Direitos Humanos e Cidadania,Estatuto da Igualdade Racial,true,5,EXPLICACAO_INCOMPLETA
256,Direitos Humanos e Cidadania,Estatuto da Igualdade Racial,true,5,EXPLICACAO_INCOMPLETA
257,Direitos Humanos e Cidadania,Estatuto da Pessoa com Deficiência,true,5,EXPLICACAO_INCOMPLETA
258,Direitos Humanos e Cidadania,Estatuto da Pessoa com Deficiência,true,5,EXPLICACAO_INCOMPLETA
259,Direitos Humanos e Cidadania,Pacto Internacional sobre Direitos Civis e Políticos,true,5,EXPLICACAO_INCOMPLETA
260,Direitos Humanos e Cidadania,Pacto Internacional sobre Direitos Civis e Políticos,true,5,EXPLICACAO_INCOMPLETA
261,Direitos Humanos e Cidadania,"Pacto Internacional sobre Direitos Econômicos, Sociais e Culturais",true,5,EXPLICACAO_INCOMPLETA
262,Direitos Humanos e Cidadania,"Pacto Internacional sobre Direitos Econômicos, Sociais e Culturais",true,5,EXPLICACAO_INCOMPLETA
263,Direitos Humanos e Cidadania,Prevenção da tortura,true,5,EXPLICACAO_INCOMPLETA
264,Direitos Humanos e Cidadania,Prevenção da tortura,true,5,EXPLICACAO_INCOMPLETA
265,Direitos Humanos e Cidadania,Tratados de Direitos Humanos com força de Emenda Constitucional,true,5,EXPLICACAO_INCOMPLETA
266,Direitos Humanos e Cidadania,Tratados de Direitos Humanos com força de Emenda Constitucional,true,5,EXPLICACAO_INCOMPLETA
267,Legislação Específica,Atos administrativos,true,5,EXPLICACAO_INCOMPLETA
268,Legislação Específica,Atos administrativos,true,5,EXPLICACAO_INCOMPLETA
269,Legislação Específica,Lei de Drogas,true,5,EXPLICACAO_INCOMPLETA
270,Legislação Específica,Lei de Drogas,true,5,EXPLICACAO_INCOMPLETA
271,Legislação Específica,Lei de Organização Básica da Brigada Militar,true,5,EXPLICACAO_INCOMPLETA
272,Legislação Específica,Lei de Organização Básica da Brigada Militar,true,5,EXPLICACAO_INCOMPLETA
273,Língua Portuguesa,Classes de palavras,true,5,EXPLICACAO_INCOMPLETA
274,Língua Portuguesa,Classes de palavras,true,5,EXPLICACAO_INCOMPLETA
275,Língua Portuguesa,Coesão textual,true,5,EXPLICACAO_INCOMPLETA
276,Língua Portuguesa,Coesão textual,true,5,EXPLICACAO_INCOMPLETA
277,Língua Portuguesa,Fonemas e dígrafos,true,5,EXPLICACAO_INCOMPLETA
278,Língua Portuguesa,Fonemas e dígrafos,true,5,EXPLICACAO_INCOMPLETA
279,Língua Portuguesa,Reescrita de frases e textos,true,5,EXPLICACAO_INCOMPLETA
280,Língua Portuguesa,Reescrita de frases e textos,true,5,EXPLICACAO_INCOMPLETA
281,Língua Portuguesa,Regência verbal e nominal,true,5,EXPLICACAO_INCOMPLETA
282,Língua Portuguesa,Regência verbal e nominal,true,5,EXPLICACAO_INCOMPLETA
283,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",true,5,EXPLICACAO_INCOMPLETA
284,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",true,5,EXPLICACAO_INCOMPLETA
285,Raciocínio Lógico,Argumentação lógica,true,5,EXPLICACAO_INCOMPLETA
286,Raciocínio Lógico,Argumentação lógica,true,5,EXPLICACAO_INCOMPLETA
287,Raciocínio Lógico,Quantificadores,true,5,EXPLICACAO_INCOMPLETA
288,Raciocínio Lógico,Quantificadores,true,5,EXPLICACAO_INCOMPLETA
289,Raciocínio Lógico,Sentenças abertas e conjunto-verdade,true,5,EXPLICACAO_INCOMPLETA
290,Raciocínio Lógico,Sentenças abertas e conjunto-verdade,true,5,EXPLICACAO_INCOMPLETA
291,Direitos Humanos e Cidadania,Abuso de Autoridade,true,5,EXPLICACAO_INCOMPLETA
292,Direitos Humanos e Cidadania,Direitos fundamentais,true,5,EXPLICACAO_INCOMPLETA
293,Direitos Humanos e Cidadania,Lei de Tortura,true,5,EXPLICACAO_INCOMPLETA
294,Informática,Segurança da informação,true,5,EXPLICACAO_INCOMPLETA
295,Legislação Específica,Constituição do Estado do Rio Grande do Sul,true,5,EXPLICACAO_INCOMPLETA
296,Legislação Específica,Constituição Federal de 1988,true,5,EXPLICACAO_INCOMPLETA
297,Legislação Específica,Defesa do Estado e das Instituições Democráticas,true,5,EXPLICACAO_INCOMPLETA
298,Legislação Específica,Direitos e Garantias Fundamentais,true,5,EXPLICACAO_INCOMPLETA
